"DS1ICHL.Code.or.Value","DS1ICHL.Value.Description","DS1ICHL.Count","DS1ICHL.Cumulative","DS1ICHL.Skip.to.Item"
"0.00495 to 396","Range of Values",427,427,NA
".","Missing",5296,5723,NA
