"WTSHM45.Code.or.Value","WTSHM45.Value.Description","WTSHM45.Count","WTSHM45.Cumulative","WTSHM45.Skip.to.Item"
"0.0000000 to 801697.8189100","Range of Values",0,0,NA
"0","0",2547,2547,NA
".","Missing",0,2547,NA
