"DSQICALC.Code.or.Value","DSQICALC.Value.Description","DSQICALC.Count","DSQICALC.Cumulative","DSQICALC.Skip.to.Item"
"0.05 to 2520","Range of Values",3100,3100,NA
".","Missing",6459,9559,NA
