"LBXV4C.Code.or.Value","LBXV4C.Value.Description","LBXV4C.Count","LBXV4C.Cumulative","LBXV4C.Skip.to.Item"
"0.0339 to 6.94","Range of Values",3302,3302,NA
".","Missing",443,3745,NA
