"DMDEDUC2.Code.or.Value","DMDEDUC2.Value.Description","DMDEDUC2.Count","DMDEDUC2.Cumulative","DMDEDUC2.Skip.to.Item"
"1","Less Than 9th Grade",932,932,NA
"2","9-11th Grade (Includes 12th grade with no diploma)",964,1896,NA
"3","High School Grad/GED or Equivalent",1097,2993,NA
"4","Some College or AA degree",1070,4063,NA
"5","College Graduate or above",793,4856,NA
"7","Refused",8,4864,NA
"9","Don't Know",14,4878,NA
".","Missing",5087,9965,NA
