"URDUBALC.Code.or.Value","URDUBALC.Value.Description","URDUBALC.Count","URDUBALC.Cumulative","URDUBALC.Skip.to.Item"
"0","At or above the detection limit",2836,2836,NA
"1","Below lower detection limit",12,2848,NA
".","Missing",93,2941,NA
