"TYXP123.Code.or.Value","TYXP123.Value.Description","TYXP123.Count","TYXP123.Cumulative","TYXP123.Skip.to.Item"
"-292 to 42","Range of Values",8291,8291,NA
".","Missing",178,8469,NA
