"WTSVOC2Y.Code.or.Value","WTSVOC2Y.Value.Description","WTSVOC2Y.Count","WTSVOC2Y.Cumulative","WTSVOC2Y.Skip.to.Item"
"2605.678075 to 325216.78843","Range of Values",3300,3300,NA
"0","No Lab Result",17,3317,NA
".","Missing",0,3317,NA
