"LEXRABPI.Code.or.Value","LEXRABPI.Value.Description","LEXRABPI.Count","LEXRABPI.Cumulative","LEXRABPI.Skip.to.Item"
"0.23 to 1.62","Range of Values",2596,2596,NA
".","Missing",588,3184,NA
