"URDUCDLC.Code.or.Value","URDUCDLC.Value.Description","URDUCDLC.Count","URDUCDLC.Cumulative","URDUCDLC.Skip.to.Item"
"0","At or above the detection limit",2282,2282,NA
"1","Below lower detection limit",779,3061,NA
".","Missing",218,3279,NA
