"DR2IVB6.Code.or.Value","DR2IVB6.Value.Description","DR2IVB6.Count","DR2IVB6.Cumulative","DR2IVB6.Skip.to.Item"
"0 to 12.285","Range of Values",120673,120673,NA
".","Missing",668,121341,NA
