"RXD240B.Code.or.Value","RXD240B.Value.Description","RXD240B.Count","RXD240B.Cumulative","RXD240B.Skip.to.Item"
"Standard generic ingredient name","Value was recorded",9138,9138,NA
"55555","Unknown",43,9181,NA
"77777","Refused",12,9193,NA
"99999","Don't know",64,9257,NA
"< blank >","Missing",6386,15643,NA
