"DR2IRET.Code.or.Value","DR2IRET.Value.Description","DR2IRET.Count","DR2IRET.Cumulative","DR2IRET.Skip.to.Item"
"0 to 29825","Range of Values",128570,128570,NA
".","Missing",571,129141,NA
