"OHD25LAS.Code.or.Value","OHD25LAS.Value.Description","OHD25LAS.Count","OHD25LAS.Cumulative","OHD25LAS.Skip.to.Item"
"0 to 11","Range of Values",2340,2340,NA
"99","Calculation cannot be determined",214,2554,NA
".","Missing",4164,6718,NA
