"DR2TFDFE.Code.or.Value","DR2TFDFE.Value.Description","DR2TFDFE.Count","DR2TFDFE.Cumulative","DR2TFDFE.Skip.to.Item"
"0 to 9131","Range of Values",8264,8264,NA
".","Missing",1686,9950,NA
