"BIXS339K.Code.or.Value","BIXS339K.Value.Description","BIXS339K.Count","BIXS339K.Cumulative","BIXS339K.Skip.to.Item"
"49.75 to 830.6","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
