"FSD670ZW.Code.or.Value","FSD670ZW.Value.Description","FSD670ZW.Count","FSD670ZW.Cumulative","FSD670ZW.Skip.to.Item"
"0 to 60","Range of Values",83,83,NA
"777","Refused",0,83,NA
"999","Don't know",1,84,NA
".","Missing",10453,10537,NA
