"SSTBBA.Code.or.Value","SSTBBA.Value.Description","SSTBBA.Count","SSTBBA.Cumulative","SSTBBA.Skip.to.Item"
"0.035 to 3.16","Range of Values",2430,2430,NA
".","Missing",0,2430,NA
