"OHQ560Q.Code.or.Value","OHQ560Q.Value.Description","OHQ560Q.Count","OHQ560Q.Cumulative","OHQ560Q.Skip.to.Item"
"1 to 66","Range of Values",2208,2208,""
"7777","Refused",0,2208,"OHQ566"
"9999","Don't know",5,2213,"OHQ566"
".","Missing",6684,8897,""
