"WTSCI15.Code.or.Value","WTSCI15.Value.Description","WTSCI15.Count","WTSCI15.Cumulative","WTSCI15.Skip.to.Item"
"0 to 479890.83179","Range of Values",727,727,NA
".","Missing",51,778,NA
