"LBX066LA.Code.or.Value","LBX066LA.Value.Description","LBX066LA.Count","LBX066LA.Cumulative","LBX066LA.Skip.to.Item"
"1.2 to 44","Range of Values",2250,2250,NA
".","Missing",297,2547,NA
