"LBXSLDSI.Code.or.Value","LBXSLDSI.Value.Description","LBXSLDSI.Count","LBXSLDSI.Cumulative","LBXSLDSI.Skip.to.Item"
"39 to 1292","Range of Values",6487,6487,NA
".","Missing",503,6990,NA
