"ACD070.Code.or.Value","ACD070.Value.Description","ACD070.Count","ACD070.Cumulative","ACD070.Skip.to.Item"
"1","United States, except Puerto Rico",667,667,NA
"2","Puerto Rico",91,758,NA
"4","Mexico",1331,2089,NA
"5","Other country",149,2238,NA
"77","Refused",0,2238,NA
"99","Don't know",16,2254,NA
".","Missing",5644,7898,NA
