"RFXC067.Code.or.Value","RFXC067.Value.Description","RFXC067.Count","RFXC067.Cumulative","RFXC067.Skip.to.Item"
"-6.762 to 4.785","Range of Values",51064,51064,NA
".","Missing",12,51076,NA
