"DS1ICHOL.Code.or.Value","DS1ICHOL.Value.Description","DS1ICHOL.Count","DS1ICHOL.Cumulative","DS1ICHOL.Skip.to.Item"
"1.65 to 62.5","Range of Values",246,246,NA
".","Missing",5660,5906,NA
