"WHQ070.Code.or.Value","WHQ070.Value.Description","WHQ070.Count","WHQ070.Cumulative","WHQ070.Skip.to.Item"
"1","Yes",1618,1618,""
"2","No",3889,5507,"WHQ090"
"7","Refused",8,5515,"WHQ090"
"9","Don't know",11,5526,"WHQ090"
".","Missing",518,6044,""
