"DMDMARTL.Code.or.Value","DMDMARTL.Value.Description","DMDMARTL.Count","DMDMARTL.Cumulative","DMDMARTL.Skip.to.Item"
"1","Married",3116,3116,NA
"2","Widowed",562,3678,NA
"3","Divorced",657,4335,NA
"4","Separated",203,4538,NA
"5","Never married",992,5530,NA
"6","Living with partner",401,5931,NA
"77","Refused",4,5935,NA
"99","Don't know",0,5935,NA
".","Missing",4214,10149,NA
