"BIDFC.Code.or.Value","BIDFC.Value.Description","BIDFC.Count","BIDFC.Cumulative","BIDFC.Skip.to.Item"
"2 to 456","Range of Values",4136,4136,NA
".","Missing",1175,5311,NA
