"RIDRETH1.Code.or.Value","RIDRETH1.Value.Description","RIDRETH1.Count","RIDRETH1.Cumulative","RIDRETH1.Skip.to.Item"
"1","Mexican American",1921,1921,NA
"2","Other Hispanic",1308,3229,NA
"3","Non-Hispanic White",3066,6295,NA
"4","Non-Hispanic Black",2129,8424,NA
"5","Other Race - Including Multi-Racial",1547,9971,NA
".","Missing",0,9971,NA
