"URXMTM.Code.or.Value","URXMTM.Value.Description","URXMTM.Count","URXMTM.Cumulative","URXMTM.Skip.to.Item"
"0.0354 to 0.0354","Range of Values",2634,2634,NA
".","Missing",122,2756,NA
