"SSL_FLC.Code.or.Value","SSL_FLC.Value.Description","SSL_FLC.Count","SSL_FLC.Cumulative","SSL_FLC.Skip.to.Item"
"0.586 to 26.2","Range of Values",147,147,NA
".","Missing",1570,1717,NA
