"LBDBR2LC.Code.or.Value","LBDBR2LC.Value.Description","LBDBR2LC.Count","LBDBR2LC.Cumulative","LBDBR2LC.Skip.to.Item"
"0","At or above the detection limit",244,244,NA
"1","Below lower detection limit",3,247,NA
".","Missing",0,247,NA
