"CVDEXCL3.Code.or.Value","CVDEXCL3.Value.Description","CVDEXCL3.Count","CVDEXCL3.Cumulative","CVDEXCL3.Skip.to.Item"
"1","Yes",197,197,NA
"2","No",757,954,NA
".","Missing",4198,5152,NA
