"DSQTZINC.Code.or.Value","DSQTZINC.Value.Description","DSQTZINC.Count","DSQTZINC.Cumulative","DSQTZINC.Skip.to.Item"
"0.02 to 450","Range of Values",2267,2267,NA
".","Missing",7489,9756,NA
