"MCQ370d.Code.or.Value","MCQ370d.Value.Description","MCQ370d.Count","MCQ370d.Cumulative","MCQ370d.Skip.to.Item"
"1","Yes",3454,3454,NA
"2","No",3006,6460,NA
"7","Refused",1,6461,NA
"9","Don't know",3,6464,NA
".","Missing",3306,9770,NA
