"SAMPLEID.Code.or.Value","SAMPLEID.Value.Description","SAMPLEID.Count","SAMPLEID.Cumulative","SAMPLEID.Skip.to.Item"
"1 to 264","Range of Values",264,264,NA
".","Missing",0,264,NA
