"RFXC077.Code.or.Value","RFXC077.Value.Description","RFXC077.Count","RFXC077.Cumulative","RFXC077.Skip.to.Item"
"-7.553 to 5.193","Range of Values",33696,33696,NA
".","Missing",25,33721,NA
