"MCQ120C.Code.or.Value","MCQ120C.Value.Description","MCQ120C.Count","MCQ120C.Cumulative","MCQ120C.Skip.to.Item"
"1","Yes",719,719,NA
"2","No",3028,3747,NA
"7","Refused",0,3747,NA
"9","Don't know",4,3751,NA
".","Missing",5894,9645,NA
