"BPQ056.Code.or.Value","BPQ056.Value.Description","BPQ056.Count","BPQ056.Cumulative","BPQ056.Skip.to.Item"
"1","Yes",1491,1491,""
"2","No",5397,6888,"BPQ059"
"7","Refused",0,6888,"BPQ059"
"9","Don't know",1,6889,"BPQ059"
".","Missing",0,6889,""
