"VTQ200A.Code.or.Value","VTQ200A.Value.Description","VTQ200A.Count","VTQ200A.Cumulative","VTQ200A.Skip.to.Item"
"1","Yes",71,71,NA
"2","No",577,648,NA
"7","Refused",0,648,NA
"9","Don't know",0,648,NA
".","Missing",203,851,NA
