"RFXC098.Code.or.Value","RFXC098.Value.Description","RFXC098.Count","RFXC098.Cumulative","RFXC098.Skip.to.Item"
"-5.175 to 4.941","Range of Values",33692,33692,NA
".","Missing",29,33721,NA
