"FSD151.Code.or.Value","FSD151.Value.Description","FSD151.Count","FSD151.Cumulative","FSD151.Skip.to.Item"
"1","Yes",804,804,NA
"2","No",6483,7287,NA
"6","Screened out",2375,9662,NA
"7","Refused",21,9683,NA
"9","Don't know",8,9691,NA
".","Missing",431,10122,NA
