"LBCBR7.Code.or.Value","LBCBR7.Value.Description","LBCBR7.Count","LBCBR7.Cumulative","LBCBR7.Skip.to.Item"
"10.76 to 502.1","Range of Values",284,284,NA
".","Missing",0,284,NA
