"SXD171.Code.or.Value","SXD171.Value.Description","SXD171.Count","SXD171.Cumulative","SXD171.Skip.to.Item"
"0 to 1000","Range of Values",2241,2241,NA
"2000","2000 or more",5,2246,NA
"77777","Refused",5,2251,NA
"99999","Don't know",12,2263,NA
".","Missing",3039,5302,NA
