"LBCBR4.Code.or.Value","LBCBR4.Value.Description","LBCBR4.Count","LBCBR4.Cumulative","LBCBR4.Skip.to.Item"
"1.344 to 21.21","Range of Values",265,265,NA
".","Missing",0,265,NA
