"DS2TIODI.Code.or.Value","DS2TIODI.Value.Description","DS2TIODI.Count","DS2TIODI.Cumulative","DS2TIODI.Skip.to.Item"
"3.75 to 12500","Range of Values",1208,1208,NA
".","Missing",8605,9813,NA
