"SSGI4ODM.Code.or.Value","SSGI4ODM.Value.Description","SSGI4ODM.Count","SSGI4ODM.Cumulative","SSGI4ODM.Skip.to.Item"
"0 to 3.5","Range of Values",946,946,NA
".","Missing",0,946,NA
