"LBDSY4.Code.or.Value","LBDSY4.Value.Description","LBDSY4.Count","LBDSY4.Cumulative","LBDSY4.Skip.to.Item"
"1","Positive",34,34,NA
"2","Negative",24,58,NA
"3","Indeterminate",0,58,NA
".","Missing",3241,3299,NA
