"DSQTIODI.Code.or.Value","DSQTIODI.Value.Description","DSQTIODI.Count","DSQTIODI.Cumulative","DSQTIODI.Skip.to.Item"
"0.15 to 12500","Range of Values",1704,1704,NA
".","Missing",8052,9756,NA
