"AUXU2KL.Code.or.Value","AUXU2KL.Value.Description","AUXU2KL.Count","AUXU2KL.Cumulative","AUXU2KL.Skip.to.Item"
"-10 to 105","Range of Values",2760,2760,NA
"666","No response",5,2765,NA
"888","Could not obtain",114,2879,NA
".","Missing",252,3131,NA
