"DR1IB12A.Code.or.Value","DR1IB12A.Value.Description","DR1IB12A.Count","DR1IB12A.Cumulative","DR1IB12A.Skip.to.Item"
"0 to 24","Range of Values",125737,125737,NA
".","Missing",766,126503,NA
