"DS1DS.Code.or.Value","DS1DS.Value.Description","DS1DS.Count","DS1DS.Cumulative","DS1DS.Skip.to.Item"
"1","Yes",2638,2638,NA
"2","No",6610,9248,NA
"7","Refused",0,9248,NA
"9","Don't know",0,9248,NA
".","Missing",514,9762,NA
