"WHQ040.Code.or.Value","WHQ040.Value.Description","WHQ040.Count","WHQ040.Cumulative","WHQ040.Skip.to.Item"
"1","More,",593,593,NA
"2","Less, or",3354,3947,NA
"3","Stay about the same?",2253,6200,NA
"7","Refused",1,6201,NA
"9","Don't know",12,6213,NA
".","Missing",0,6213,NA
