"DXDTRA.Code.or.Value","DXDTRA.Value.Description","DXDTRA.Count","DXDTRA.Cumulative","DXDTRA.Skip.to.Item"
"286.83 to 996.25","Range of Values",4946,4946,NA
".","Missing",834,5780,NA
