"CIQP38.Code.or.Value","CIQP38.Value.Description","CIQP38.Count","CIQP38.Cumulative","CIQP38.Skip.to.Item"
"0 to 10","Range of Values",16,16,NA
"900","900 +",0,16,NA
"7777","Refused",0,16,NA
"9999","Don't know",1,17,NA
".","Missing",761,778,NA
