"CIQP13L.Code.or.Value","CIQP13L.Value.Description","CIQP13L.Count","CIQP13L.Cumulative","CIQP13L.Skip.to.Item"
"1","Yes",32,32,NA
"2","No",86,118,NA
"7","Refused",0,118,NA
"9","Don't know",0,118,NA
".","Missing",810,928,NA
