"CIQP13A.Code.or.Value","CIQP13A.Value.Description","CIQP13A.Count","CIQP13A.Cumulative","CIQP13A.Skip.to.Item"
"1","Yes",79,79,NA
"2","No",29,108,NA
"7","Refused",0,108,NA
"9","Don't know",0,108,NA
".","Missing",742,850,NA
