"DS2TMAGN.Code.or.Value","DS2TMAGN.Value.Description","DS2TMAGN.Count","DS2TMAGN.Cumulative","DS2TMAGN.Skip.to.Item"
"0.7 to 1200","Range of Values",877,877,NA
".","Missing",8667,9544,NA
