"AUDTYL23.Code.or.Value","AUDTYL23.Value.Description","AUDTYL23.Count","AUDTYL23.Cumulative","AUDTYL23.Skip.to.Item"
"0 to 2.03","Range of Values",1774,1774,NA
".","Missing",115,1889,NA
