"URDPPBLC.Code.or.Value","URDPPBLC.Value.Description","URDPPBLC.Count","URDPPBLC.Cumulative","URDPPBLC.Skip.to.Item"
"0","At or above the detection limit",2554,2554,NA
"1","Below lower detection limit",195,2749,NA
".","Missing",70,2819,NA
