"DS1TFA.Code.or.Value","DS1TFA.Value.Description","DS1TFA.Count","DS1TFA.Cumulative","DS1TFA.Skip.to.Item"
"2 to 4000","Range of Values",1536,1536,NA
".","Missing",7802,9338,NA
