"FFQ0097E.Code.or.Value","FFQ0097E.Value.Description","FFQ0097E.Count","FFQ0097E.Cumulative","FFQ0097E.Skip.to.Item"
1,"Almost never or never",1087,1087,NA
2,"About 1/4 of the time",1601,2688,NA
3,"About 1/2 of the time",1327,4015,NA
4,"About 3/4 of the time",598,4613,NA
5,"Almost always or always",790,5403,NA
88,"Blank",610,6013,NA
99,"Error",0,6013,NA
