"LBDEONO.Code.or.Value","LBDEONO.Value.Description","LBDEONO.Count","LBDEONO.Cumulative","LBDEONO.Skip.to.Item"
"0 to 3.8","Range of Values",8378,8378,NA
".","Missing",1062,9440,NA
