"DXDLATOT.Code.or.Value","DXDLATOT.Value.Description","DXDLATOT.Count","DXDLATOT.Cumulative","DXDLATOT.Skip.to.Item"
"885.4 to 12749.5","Range of Values",4669,4669,NA
".","Missing",1023,5692,NA
